11;2355;20181203;Деятельность органов власти в сфере безопасности дорожного движения;Образование пробок;Министерство транспорта Архангельской области;0;0;(64.5, 39.8)
70;2354;20181203;Качество дорожного покрытия;Проезд во дворе дома по ул. Свободы  д. 60;;0;0;(54.1, 37.6)
46;2347;20181203;Деятельность органов власти в сфере безопасности дорожного движения;Установка камеры фотофиксации пересечения стоп-линии и поворота не с соответствующей полосы ;;0;0;(55.5, 37.5)
61;2352;20181203;Пешеходная инфраструктура;Можно ли человеку перейти дорогу по пешеходному переходу?;;0;0;(54.6, 39.6)
40;2353;20181203;Пешеходная инфраструктура;Необходим регулируемый пешеходный переход*;;0;0;(59.9, 30.4)
03;2356;20181203;Дорожные знаки и светофоры; Необходим светофор и пешеходный переход;;0;0;(44.3, 40.8)
46;2349;20181203;Пешеходная инфраструктура;Машины возле подъезд!;;0;0;(56.0, 37.1)
45;2348;20181203;Дорожные знаки и светофоры;Добавить знак движения прямо на Краснопресненской набережной ;Правительство Москвы;0;0;(55.7, 37.5)
40;2346;20181202;Пешеходная инфраструктура;Пешеходные переходы;;0;0;(59.9, 30.2)
18;2345;20181201;Пешеходная инфраструктура;ЖК БУКАТИН ЛУГ;;1;0;(48.6, 44.5)
90;2344;20181201;Дорожные знаки и светофоры;"Дополнительная секция ""стрелка"" ";;0;0;(43.0, 44.6)
90;2342;20181201;Дорожные знаки и светофоры;Необходим светофор ;;0;0;(43.0, 44.7)
50;2341;20181130;Дорожные знаки и светофоры;Дорожный знак;;0;0;(54.9, 82.8)
65;2339;20181129;Дорожные знаки и светофоры;Нет указательной стрелки на Новомосковский тракт;;1;0;(56.8, 60.2)
65;2340;20181129;Дорожные знаки и светофоры;Синяя указательная стрелка на Пермь;;1;0;(56.8, 60.3)
45;2338;20181129;Дорожные знаки и светофоры;Светофор;Правительство Москвы;0;0;(55.5, 37.6)
46;2337;20181129;Деятельность органов власти в сфере безопасности дорожного движения;Организация дорожного движение;;0;0;(55.7, 37.9)
46;2330;20181128;Дорожная разметка;Необходимость изменения дорожной разметки ;;7;0;(55.6, 37.9)
52;2328;20181128;Деятельность органов власти в сфере безопасности дорожного движения;Объезд затора по встречной  риск лобового столкновения ;;2;0;(54.9, 71.2)
61;2331;20181128;Дорожная разметка;Перекресток Солотчинское шоссе - ул. Кальная;;1;0;(54.6, 39.8)
46;2335;20181128;Дорожные знаки и светофоры;Отсутствие левого поворотного сигнала светофора;;1;0;(55.7, 38.4)
20;2329;20181128;Пассажироперевозки;Остановка общественного транспорта МП для такси?;;0;0;(51.7, 39.1)
46;2334;20181128;Качество дорожного покрытия;Отсутствие асфальтового покрытия на дороге;;0;0;(55.7, 38.6)
46;2333;20181128;Деятельность органов власти в сфере безопасности дорожного движения;Не соответствие дорожного знака ограничения скорости настройке камеры фиксации;;0;0;(55.7, 38.4)
40;2332;20181128;Дорожные знаки и светофоры;Аварийность на перекрестке;;0;0;(59.8, 30.2)
